Timestamp	Your Harvard status/appointment	Your primary affiliated school at Harvard	Your Harvard Department/Unit/Center/Program
8/6/2019 14:12:26	Undergraduate student	Harvard College	Mongan Institute, Research Assistant
8/8/2019 14:21:35	Alum or Emeritus	Harvard College	Anthropology
8/13/2019 13:53:50	Graduate student: Doctorate	Harvard Medical School (HMS)	Boston Children's Hospital
8/16/2019 16:23:10	Post doctoral research associate	Harvard Medical School (HMS)	Department of Pediatric Cardiology at BCH
8/19/2019 14:22:02	Staff	HUIT, Libraries, UPO, other Harvard centers or programs	HUIT
8/20/2019 3:59:31	Non-Harvard	Non-Harvard	Ludwig-Maximilian University Munich
8/22/2019 2:20:36	Non-Harvard	Non-Harvard	University ofJammu,Research scholar
9/2/2019 22:08:53	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning and Design / Master's program
9/3/2019 9:52:35	Staff	FAS Science Division	Harvard Forest
9/3/2019 13:10:59	Graduate student: Masters	Harvard Graduate School of Education (GSE)	TIE
9/5/2019 8:41:09	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Economics Department
9/6/2019 11:42:14	Graduate student: Masters	Graduate School of Arts and Sciences (GSAS)	REECA 
9/9/2019 14:47:41	Faculty	Harvard School of Public Health (HSPH)	Department of Global Health and Population
9/9/2019 19:02:59	Research assistant	Harvard Graduate School of Design (GSD)	UPD
9/10/2019 15:27:26	Visitor	Harvard School of Public Health (HSPH)	Environmental Health
9/11/2019 12:47:38	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning and Design
9/14/2019 22:54:00	Graduate student: Masters	Harvard School of Engineering and Applied Sciences (SEAS)	Master of Design Engineering (MDE)
9/16/2019 14:22:56	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban planning and design
9/17/2019 11:23:08	Faculty	Harvard Law School (HLS)	Empirical Department
9/18/2019 10:20:40	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Political Economy and Govt PhD (Primary Adviser in Gov Dept)
9/20/2019 12:07:39	Graduate student: Masters	Harvard School of Public Health (HSPH)	Environmental Health
9/22/2019 7:37:52	Non-degree student	Harvard College	G
9/23/2019 10:50:07	Graduate student: Masters	HUIT, Libraries, UPO, other Harvard centers or programs	Intro to GIS, Grad student, Harvard Extension School
9/29/2019 14:11:31	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
9/30/2019 11:55:54	Graduate student: Masters	FAS Division of Continuing Education (DCE)	HES Grad student, Master's of Information Management Systems
9/30/2019 15:12:22	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	HSPH
10/1/2019 0:01:08	Post doctoral research associate	Harvard School of Public Health (HSPH)	Global Health and Population
10/2/2019 9:55:22	Research assistant	FAS Science Division	Harvard Forest
10/2/2019 10:52:53	Undergraduate student	Harvard College	Economics
10/5/2019 17:36:45	Research fellow	FAS Social Science Division	Hutchins Center for African and African-American Research
10/6/2019 19:14:08	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Urban Planning
10/7/2019 12:16:34	Post doctoral research associate	Harvard School of Public Health (HSPH)	GHP
10/7/2019 15:57:39	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Public Policy
10/10/2019 15:06:11	Non-Harvard	Non-Harvard	Jawaharlal Nehru University, PhD student 
10/15/2019 11:37:07	Non-Harvard	Non-Harvard	Kenyatta University, GIS Technician
10/15/2019 12:55:46	Graduate student: Doctorate	FAS Social Science Division	Joint PhD Program in Harvard's Government Department and Kennedy School
10/18/2019 8:57:49	Faculty	Harvard School of Public Health (HSPH)	Global Health and Population
10/22/2019 9:48:17	Staff	Harvard Graduate School of Design (GSD)	do we offer a license for adobe creative cloud extension for arcgis? a student states there is a license version.
10/22/2019 13:08:42	Visitor	Harvard Graduate School of Education (GSE)	Language and literacy 
10/22/2019 23:44:13	Research fellow	Harvard Graduate School of Design (GSD)	Landscape Architecture Department
10/30/2019 7:08:43	Staff	FAS Social Science Division	Davis Center
10/31/2019 12:31:09	Non-Harvard	Non-Harvard	Tufts University, Friedman School of Nutrition, Graduate student
10/31/2019 13:05:42	Research fellow	FAS Arts and Humanities Division	Hutchins Center 
11/2/2019 9:23:50	Research fellow	Radcliffe Institute for Advanced Study	Radcliffe Institute for Advanced Study
11/4/2019 15:49:15	Faculty	FAS Social Science Division	Anthropology (Archaeology Program)
11/5/2019 10:39:02	Staff	Harvard Graduate School of Education (GSE)	CEPR
11/5/2019 14:25:26	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Economics Department
11/5/2019 23:32:27	Non-Harvard	Non-Harvard	Brigham Young University-Idaho, undergraduate student
11/7/2019 11:58:36	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Social Policy
11/7/2019 15:12:45	Graduate student: Masters	Harvard Graduate School of Education (GSE)	M. Arch I
11/7/2019 22:07:43	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master of Design Studies
11/10/2019 21:38:04	Post doctoral research associate	Harvard Business School (HBS)	 Business, Government and International Economy Unit
11/11/2019 8:17:18	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	Master in Public Administration in International Development
11/11/2019 13:27:21	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Anthropology and Archaeology graduate student
11/12/2019 13:40:56	Undergraduate student	FAS Social Science Division	Sociology Concentrator
11/12/2019 14:24:44	Non-Harvard	Non-Harvard	Texas A&M University, graduate student
11/12/2019 14:25:20	Graduate student: Doctorate	FAS Social Science Division	Harvard Sociology
11/12/2019 17:04:49	Post doctoral research associate	Harvard School of Public Health (HSPH)	Environmental Health
11/12/2019 18:58:07	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Public Policy
11/13/2019 10:01:53	Graduate student: Doctorate	FAS Social Science Division	Sociology Department
11/13/2019 18:31:34	Research fellow	FAS other units	affiliated
11/14/2019 11:41:33	Research fellow	Harvard Medical School (HMS)	Global Health and Social Medicine
11/15/2019 11:00:01	Post doctoral research associate	Harvard School of Public Health (HSPH)	Center for Population & Development Studies
11/16/2019 16:27:29	Research fellow	Harvard Kennedy School of Government (HKS)	Women and Public Policy Program
11/18/2019 13:09:31	Undergraduate student	Harvard College	Freshman, Computer Science
11/18/2019 13:54:32	Staff	FAS Social Science Division	History
11/18/2019 14:01:04	Staff	Harvard Kennedy School of Government (HKS)	HKS Library
11/19/2019 8:14:42	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	MPA/ID
11/19/2019 8:52:31	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Department of Economics
11/20/2019 17:38:01	Research fellow	FAS Arts and Humanities Division	Harvard Semitic Museum
11/21/2019 10:52:44	Non-Harvard	Non-Harvard	Program Coordinator, Earthwatch Institute
11/21/2019 13:49:30	Research fellow	Harvard School of Public Health (HSPH)	NA
11/21/2019 14:54:19	Research fellow	Harvard School of Engineering and Applied Sciences (SEAS)	Harvard China Program
11/22/2019 10:11:37	Non-degree student	FAS other units	Kharazmi University, Researcher
11/24/2019 23:46:41	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
11/25/2019 9:39:35	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Near Eastern Languages and Civilizations
11/25/2019 15:00:33	Graduate student: Doctorate	FAS Social Science Division	Sociology
11/25/2019 15:00:38	Graduate student: Doctorate	FAS Social Science Division	Sociology & Social Policy
11/25/2019 15:24:45	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urbanism, Landscape, Ecology
11/26/2019 14:08:32	Undergraduate student	FAS Division of Continuing Education (DCE)	Harvard University Extension Student
11/27/2019 0:20:35	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Economics
12/1/2019 3:23:26	Non-Harvard	Harvard School of Dental Medicine (HSDM)	yes
12/2/2019 15:56:03	Research fellow	Harvard School of Public Health (HSPH)	Epidemiology
12/2/2019 17:08:11	Research fellow	Radcliffe Institute for Advanced Study	-
12/3/2019 12:10:15	Non-Harvard	Non-Harvard	Universite du Quebec a Montreal, professor
12/3/2019 15:04:36	Non-degree student	Harvard Kennedy School of Government (HKS)	Ash Center for Democratic Government and Innovation of HKS
12/5/2019 16:01:08	Research assistant	FAS Social Science Division	Opportunity Insights
12/8/2019 19:44:45	Other Affliate	FAS Division of Continuing Education (DCE)	FHLB-OF, Risk Analyst
12/13/2019 11:32:25	Staff	Harvard Law School (HLS)	Houston Institute
12/16/2019 6:10:08	Faculty	FAS Social Science Division	Government
12/17/2019 10:35:07	Research assistant	Graduate School of Arts and Sciences (GSAS)	HSPH
12/18/2019 9:22:42	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	EALC 
12/18/2019 14:41:04	Post doctoral research associate	Harvard Kennedy School of Government (HKS)	Program on Education Policy and Governance
12/19/2019 13:05:42	Other Affliate	Non-Harvard	BWH research assistant 
12/20/2019 11:34:02	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Sustainability
12/23/2019 16:32:38	Non-Harvard	Non-Harvard	non-Harvard
12/24/2019 12:59:26	Non-Harvard	Non-Harvard	Brigham and Women's Hospital
12/30/2019 10:42:30	Non-degree student	FAS Division of Continuing Education (DCE)	NA
12/31/2019 13:29:17	Undergraduate student	Harvard College	Economics
1/2/2020 20:42:00	Non-Harvard	Non-Harvard	University of Southern California, PhD student
1/6/2020 10:32:15	Other Affliate	Harvard School of Public Health (HSPH)	Brigham & Women's Hospital
1/6/2020 15:08:28	Non-Harvard	Non-Harvard	Brigham and Women's Hospital
1/6/2020 18:41:01	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Department of EALC
1/8/2020 7:44:28	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Extension school, DS Certificate program
1/8/2020 11:42:08	Non-Harvard	Non-Harvard	Northeastern University 
1/12/2020 17:39:57	Undergraduate student	Harvard College	Government
1/14/2020 15:32:28	Alum or Emeritus	Non-Harvard	Harvard HSPH Alum, current Korea University faculty
1/15/2020 12:25:09	Graduate student: Doctorate	Harvard School of Public Health (HSPH)	Department Global Health and Population - Population Health Sciences
1/15/2020 13:47:46	Staff	Harvard School of Engineering and Applied Sciences (SEAS)	I am a staff member at Harvard SEAS
1/21/2020 0:30:57	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning
1/22/2020 15:29:31	Non-Harvard	Non-Harvard	Tufts University, Graduate Student 
1/22/2020 19:12:28	Undergraduate student	Harvard College	Economics
1/23/2020 15:20:06	Undergraduate student	Harvard College	Economics
1/24/2020 9:57:35	Research assistant	Harvard School of Public Health (HSPH)	Health Policy and Management
1/26/2020 16:40:08	Non-Harvard	Non-Harvard	Universidade Estadual Paulista (UNESP), postdoctoral
1/27/2020 14:39:04	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Health Policy PhD
1/27/2020 15:43:19	Graduate student: Doctorate	Harvard Business School (HBS)	HBS/GSAS PhD student - Business Administration 
1/29/2020 15:30:53	Graduate student: Masters	Harvard School of Public Health (HSPH)	Global Health and Population
1/30/2020 17:01:40	Staff	Harvard Business School (HBS)	Baker Library
1/31/2020 15:54:08	Research fellow	Harvard Medical School (HMS)	Program in Global Surgery and Social Change 
2/1/2020 18:12:04	Research fellow	FAS Social Science Division	Economics Department
2/3/2020 10:49:36	Non-Harvard	Non-Harvard	UniversitÃ  Bocconi, graduate student
2/4/2020 14:15:38	Graduate student: Masters	Graduate School of Arts and Sciences (GSAS)	REECA
2/4/2020 15:58:16	Staff	Harvard Business School (HBS)	The Institute for Strategy and Competitiveness
2/4/2020 23:08:05	Research fellow	FAS Arts and Humanities Division	Semitic Museum
2/4/2020 23:51:55	Research fellow	FAS Arts and Humanities Division	Semitic Museum
2/5/2020 13:08:13	Undergraduate student	Harvard College	Harvard Economics Department (undergraduate theses)
2/5/2020 20:03:07	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Political Economy & Government
2/5/2020 20:25:27	Staff	FAS Social Science Division	Davis Center for Russian and Eurasian Studies
2/7/2020 17:31:19	Visitor	Harvard School of Public Health (HSPH)	Department of Global Health and Population
2/8/2020 19:52:33	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	n/a
2/9/2020 16:41:37	Research fellow	Harvard School of Public Health (HSPH)	Dept of Social & Behavioral Sciences
2/10/2020 10:39:43	Graduate student: Doctorate	FAS other units	History of Art & Architecture
2/12/2020 10:06:15	Faculty	Graduate School of Arts and Sciences (GSAS)	ING.EN RECURSOS NATURALES RENIVABLES
2/12/2020 15:41:23	Post doctoral research associate	Harvard School of Public Health (HSPH)	EH
2/12/2020 21:13:28	Graduate student: Masters	Harvard Medical School (HMS)	Global Health and Social Medicine
2/13/2020 14:29:28	Graduate student: Doctorate	Harvard Graduate School of Education (GSE)	PhD Education
2/14/2020 11:36:48	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
2/14/2020 15:56:25	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Near Eastern Languages and Civilizations
2/16/2020 22:57:11	Research assistant	FAS other units	Development GIS
2/18/2020 13:13:56	Research assistant	Harvard Kennedy School of Government (HKS)	Weiner Center for Social Policy
2/20/2020 22:35:22	Graduate student: Doctorate	FAS Social Science Division	Economics Department
2/21/2020 12:01:32	Research fellow	Harvard School of Public Health (HSPH)	Emergency Medicine
2/21/2020 14:05:24	Research fellow	Graduate School of Arts and Sciences (GSAS)	Asia Center
2/21/2020 19:16:16	Non-degree student	Harvard Business School (HBS)	HBS
2/22/2020 16:09:06	Graduate student: Masters	Harvard Medical School (HMS)	I'm a Harvard Med School student
2/24/2020 14:14:25	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	I am affiliated with Harvard
2/24/2020 16:20:26	Faculty	Harvard Medical School (HMS)	Emergency Medicine
2/25/2020 11:36:33	Non-degree student	FAS Division of Continuing Education (DCE)	Harvard Extension 
2/25/2020 15:13:19	Staff	Harvard Business School (HBS)	Research Associate
2/26/2020 9:55:23	Visitor	Harvard Business School (HBS)	University of los Andes
2/26/2020 10:05:37	Non-Harvard	Non-Harvard	University of Oxford
2/26/2020 17:44:30	Research fellow	FAS Science Division	OEB
2/28/2020 11:41:02	Non-degree student	FAS Division of Continuing Education (DCE)	Harvard Extension
2/28/2020 12:38:05	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Am a Harvard affiliate
3/2/2020 11:33:18	Staff	Harvard School of Public Health (HSPH)	N/A
3/3/2020 13:08:21	Faculty	Harvard Medical School (HMS)	Endocrine Division, Massachusetts General Hospital
3/3/2020 14:30:01	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	I am affiliated with Harvard
3/3/2020 19:50:56	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Political Economy & Government
3/6/2020 14:26:15	Other Affliate	HUIT, Libraries, UPO, other Harvard centers or programs	Fairbank Center for Chinese Studies, Research Associate
3/10/2020 17:22:58	Non-degree student	FAS Division of Continuing Education (DCE)	Harvard Extension School: Sustainable Cities and Communities
3/13/2020 11:19:01	Staff	FAS Social Science Division	Peabody Museum
3/13/2020 11:20:22	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Organismic and Evolutionary Biology
3/14/2020 21:10:33	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology and Social Policy 
3/16/2020 15:56:43	Non-Harvard	Non-Harvard	MITRE, engineer
3/17/2020 15:14:31	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Harvard affiliate
3/18/2020 10:04:52	Graduate student: Masters	Harvard School of Public Health (HSPH)	MPH45-Global Health
3/19/2020 13:37:54	Staff	Harvard Business School (HBS)	Research Associate
3/20/2020 15:09:02	Non-Harvard	Non-Harvard	EMNet, MGH
3/23/2020 16:03:44	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Economics
3/24/2020 10:14:45	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Doctoral Candidate Department of Government
3/27/2020 11:39:33	Staff	HUIT, Libraries, UPO, other Harvard centers or programs	Harvard Planning Office
3/27/2020 16:23:14	Graduate student: Masters	FAS Division of Continuing Education (DCE)	N/A
3/30/2020 10:15:24	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Sustainability
4/2/2020 11:45:34	Non-Harvard	Non-Harvard	EMNet MGH
4/2/2020 17:04:31	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Sustainability
4/6/2020 7:43:02	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	Master in Public Administration and International Development
4/6/2020 23:35:38	Staff	Harvard College	Arnold Arboretum
4/8/2020 12:27:48	Visitor	Non-Harvard	Benefit Corporation - DNA Compass dnacovid19.com
4/9/2020 14:21:12	Undergraduate student	Harvard School of Engineering and Applied Sciences (SEAS)	NA
4/10/2020 18:35:47	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	HKS MPP 2020
4/11/2020 14:39:09	Graduate student: Masters	Harvard School of Engineering and Applied Sciences (SEAS)	AB Statistics / SM Applied Mathematics
4/14/2020 21:05:45	Research assistant	Harvard Graduate School of Design (GSD)	GSD/Urban Planning
4/16/2020 10:20:51	Non-Harvard	Non-Harvard	HarperCollins Publishers UK, Managing Editor
4/17/2020 21:45:31	Research fellow	FAS other units	Asia Center
4/20/2020 7:10:58	Alum or Emeritus	Harvard Graduate School of Design (GSD)	Master in Urban Planning
4/23/2020 12:45:44	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	MPP
4/24/2020 14:49:15	Faculty	Harvard Kennedy School of Government (HKS)	Weiner Center 
4/26/2020 11:22:48	Staff	FAS other units	Weatherhead Center
4/26/2020 12:17:13	Research fellow	FAS other units	Economics
4/29/2020 17:04:48	Staff	HUIT, Libraries, UPO, other Harvard centers or programs	Arnold Arboretum 
4/30/2020 16:39:24	Graduate student: Masters	Harvard School of Public Health (HSPH)	Department of Social and Behavioral Sciences
5/1/2020 12:55:04	Other Affliate	FAS Division of Continuing Education (DCE)	GIS
5/1/2020 13:33:32	Faculty	Harvard Business School (HBS)	General Management
5/4/2020 11:30:36	Research assistant	Harvard Medical School (HMS)	Boston Children's Hospital Emergency Department
5/5/2020 8:59:19	Undergraduate student	Harvard College	Harvard affiliate
5/6/2020 12:51:21	Non-Harvard	Non-Harvard	UC San Diego, postdoc
5/6/2020 12:52:35	Non-Harvard	Non-Harvard	NA
5/6/2020 12:54:57	Non-Harvard	Non-Harvard	Tennessee State University - Associate Professor and Director of the Geographic Information Sciences Laboratory
5/6/2020 12:56:49	Non-Harvard	Non-Harvard	UC San Diego, Librarian
5/6/2020 13:15:51	Non-Harvard	Non-Harvard	Chulalongkorn University, graduate student
5/6/2020 13:22:37	Non-Harvard	Non-Harvard	Fraunhofer IAO - Stuttgart University IAT
5/6/2020 13:23:24	Non-Harvard	Non-Harvard	WI Department of Natural Resources
5/6/2020 13:26:02	Non-Harvard	Non-Harvard	UIUC
5/6/2020 13:29:54	Non-Harvard	Non-Harvard	University of Pittsburgh/MSW-COSA Graduate Student
5/6/2020 13:52:24	Non-Harvard	Non-Harvard	UGA
5/6/2020 14:08:08	Non-Harvard	Non-Harvard	City of Norfolk IT - GIS 
5/6/2020 14:58:31	Non-Harvard	Non-Harvard	Maricopa County Arizona Deparment of Emergency Management, GIS
5/6/2020 15:37:19	Non-Harvard	Non-Harvard	INTERSPATIAL TECHNOLOGIES (GIS DEVELOPER)
5/6/2020 16:43:29	Staff	FAS Science Division	Center for Geograpic Analysis/IQSS
5/6/2020 22:26:53	Non-Harvard	Non-Harvard	Chinese University of Hong Kong, Central China Normal University, graduate student
5/6/2020 23:45:45	Non-Harvard	Non-Harvard	NA
5/6/2020 23:59:28	Non-Harvard	Non-Harvard	Federal School of Surveying and Geoinformatics, Lecturer
5/7/2020 2:09:18	Non-Harvard	Non-Harvard	N/A
5/8/2020 12:07:21	Undergraduate student	Harvard College	History & Literature
5/8/2020 14:19:53	Post doctoral research associate	Harvard School of Public Health (HSPH)	Global Health and Population
5/8/2020 17:18:48	Non-Harvard	Non-Harvard	Lecturer, Taraba State University
5/9/2020 13:47:46	Non-Harvard	Non-Harvard	Saint Louis University, data analyst(economics)
5/9/2020 14:57:40	Research assistant	Harvard Medical School (HMS)	Boston Children's Hospital Emergency Department
5/10/2020 14:56:11	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Public Policy
5/10/2020 18:23:44	Research fellow	Harvard Medical School (HMS)	Department of Biomedical Informatics
5/12/2020 10:43:02	Staff	Harvard Business School (HBS)	Baker Research Services
5/12/2020 17:53:29	Staff	Harvard Business School (HBS)	Baker Library
5/14/2020 10:57:20	Non-Harvard	Non-Harvard	Princeton University, Associate Research Scholar
5/14/2020 21:48:16	Research fellow	FAS Social Science Division	Economics - Opportunity Insights Group
5/16/2020 12:13:59	Non-Harvard	Non-Harvard	Technical university of Berlin 
5/19/2020 12:19:46	Alum or Emeritus	Non-Harvard	German Aerospace Center (DLR) Germany
5/19/2020 16:02:27	Research assistant	Harvard Medical School (HMS)	Boston Children Hospital Emergency Department
5/19/2020 18:30:14	Research fellow	Harvard Kennedy School of Government (HKS)	Malcolm Wiener Center
5/21/2020 10:43:18	Non-Harvard	Non-Harvard	Vassar College, undergraduate student
5/21/2020 13:12:45	Non-Harvard	Non-Harvard	University of Illinois at Urbana-Champaign
5/21/2020 14:48:53	Staff	FAS Arts and Humanities Division	History Department
5/22/2020 11:48:56	Graduate student: Doctorate	Harvard Graduate School of Education (GSE)	PhD student in Education- Human Development, Learning, Teaching
5/22/2020 17:52:11	Faculty	FAS other units	Texas State University
5/24/2020 0:27:53	Non-Harvard	Non-Harvard	UIUC graduate student
5/24/2020 21:48:16	Graduate student: Doctorate	Harvard School of Public Health (HSPH)	Environment Health
5/28/2020 9:42:56	Post doctoral research associate	Harvard Medical School (HMS)	HSPH/Channing
5/31/2020 11:51:58	Alum or Emeritus	FAS Division of Continuing Education (DCE)	ECS Federal/Current UMD Graduate Student
6/1/2020 12:02:37	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
6/3/2020 11:40:48	Graduate student: Doctorate	FAS Social Science Division	Government
6/4/2020 18:42:21	Graduate student: Doctorate	FAS Social Science Division	Government and Social Policy (Joint GSAS and HKS)
6/9/2020 8:44:26	Staff	Harvard Business School (HBS)	Research Staff Services
6/9/2020 14:19:15	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	MPAID
6/11/2020 17:26:02	Graduate student: Masters	Radcliffe Institute for Advanced Study	kashco
6/12/2020 14:45:56	Graduate student: Masters	Harvard Graduate School of Design (GSD)	UPD
6/16/2020 5:15:03	Graduate student: Masters	FAS Division of Continuing Education (DCE)	FAS- Extension School
6/17/2020 10:11:04	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master of Design Engineering
6/17/2020 13:26:13	Staff	Harvard School of Public Health (HSPH)	N/A
6/17/2020 22:23:08	Post doctoral research associate	Harvard Kennedy School of Government (HKS)	Growth Lab, Center for International Development, HKS
6/18/2020 13:13:55	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	human evolutionary biology
6/18/2020 15:53:13	Non-Harvard	Non-Harvard	Environmental Technology and Sustainable Practices
6/19/2020 14:58:59	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Near Eastern Languages and Civilizations
6/21/2020 0:02:19	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Economics
6/22/2020 12:50:37	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MUP
6/22/2020 16:03:31	Research fellow	Graduate School of Arts and Sciences (GSAS)	Asia Center
6/22/2020 16:05:26	Research fellow	Graduate School of Arts and Sciences (GSAS)	Asia Center
6/23/2020 14:17:03	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Near Eastern Languages and Civilizations
6/24/2020 18:06:54	Staff	HUIT, Libraries, UPO, other Harvard centers or programs	HUIT
6/29/2020 8:46:31	Non-Harvard	Non-Harvard	MGH, EMNet (Emergency Medicine Network)
6/29/2020 9:38:29	Graduate student: Masters	Harvard Graduate School of Design (GSD)	UPD
6/30/2020 10:12:54	Faculty	Harvard Medical School (HMS)	Boston Children's Hospital Division of Emergency Medicine (HMS Dept of Pediatrics)
7/2/2020 8:25:50	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning and Design
7/2/2020 8:50:02	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Harvard Extension School
7/2/2020 16:26:26	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning
7/2/2020 17:28:49	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Landscape Architecture
7/3/2020 3:30:31	Visitor	Harvard School of Engineering and Applied Sciences (SEAS)	Archaeolog
7/3/2020 16:54:20	Research fellow	Harvard School of Public Health (HSPH)	Epidemiology
7/4/2020 15:39:04	Visitor	FAS Social Science Division	Weatherhead Center for International Affairs
7/6/2020 12:20:44	Graduate student: Masters	Harvard Graduate School of Design (GSD)	-
7/6/2020 12:51:55	Non-Harvard	Non-Harvard	Brigham and Women's Hospital
7/6/2020 16:31:52	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Creative Writing and Literature
7/6/2020 18:01:59	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology
7/7/2020 11:43:54	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning
7/8/2020 16:51:23	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Harvard Graduate School of Design
7/8/2020 18:29:12	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Landscape Architecture
7/9/2020 11:05:56	Other Affliate	Non-Harvard	MGH - Kraft Center for Community Health
7/9/2020 11:15:58	Non-Harvard	Non-Harvard	Fathom Consulting, data visualisation specialist
7/9/2020 18:24:23	Faculty	FAS Science Division	OEB
7/9/2020 19:20:35	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Design, Harvard Graduate School of Design
7/9/2020 19:59:14	Faculty	FAS Science Division	OEB Dept.
7/11/2020 13:37:53	Graduate student: Doctorate	FAS other units	History of Art and Architecture
7/14/2020 16:38:29	Non-Harvard	Non-Harvard	George Mason University
7/15/2020 3:04:32	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban planning
7/15/2020 11:45:57	Graduate student: Doctorate	Harvard Kennedy School of Government (HKS)	Harvard University
7/15/2020 15:11:42	Graduate student: Doctorate	Harvard Kennedy School of Government (HKS)	Public Policy
7/17/2020 10:38:58	Faculty	Harvard Medical School (HMS)	BWH, Surgery
7/17/2020 16:09:31	Research assistant	FAS Arts and Humanities Division	History of Art & Architecture 
7/19/2020 18:40:34	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MUP
7/20/2020 10:20:34	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	PhD Program in Health Care Policy
7/20/2020 19:52:04	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Phd Program in Health Care Policy
7/21/2020 16:16:28	Staff	Harvard Graduate School of Design (GSD)	Computer Resources
7/23/2020 12:10:14	Non-Harvard	Non-Harvard	University of North Carolina student/research assistant
7/24/2020 4:23:50	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MUP
7/26/2020 19:42:27	Research fellow	Harvard School of Public Health (HSPH)	Department of epidemiology
7/28/2020 23:47:30	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Landscape Architecture
7/30/2020 11:02:49	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Landscape Architecture
7/30/2020 11:56:39	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Harvard GSD
8/1/2020 9:04:19	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Urban Planning
8/3/2020 11:40:52	Non-Harvard	Non-Harvard	Brigham and Women's Hospital, research assistant
